IP: /0:0:0:0:0:0:0:1:4344 Date: Sun, 04 May 2014 12:23:04 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4461 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4460 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4464 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4463 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4459 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4467 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4462 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4465 Date: Sun, 04 May 2014 12:24:40 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4466 Date: Sun, 04 May 2014 12:24:40 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4479 Date: Sun, 04 May 2014 12:25:22 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4488 Date: Sun, 04 May 2014 12:25:40 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4498 Date: Sun, 04 May 2014 12:25:51 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4511 Date: Sun, 04 May 2014 12:26:12 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4604 Date: Sun, 04 May 2014 12:31:48 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36
IP: /0:0:0:0:0:0:0:1:4886 Date: Sun, 04 May 2014 12:32:55 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:5036 Date: Sun, 04 May 2014 12:33:48 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:5069 Date: Sun, 04 May 2014 12:37:19 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:5084 Date: Sun, 04 May 2014 12:37:40 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36
IP: /0:0:0:0:0:0:0:1:5091 Date: Sun, 04 May 2014 12:38:25 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36
IP: /0:0:0:0:0:0:0:1:5110 Date: Sun, 04 May 2014 12:38:50 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
